Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2009",,,,,,,,,,,,,
State,Area,,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,
,,Area actually reporting,92.7%,"1,263",36,175,66,986,"9,371","3,623","5,105",643,
,,Estimated total,100.0%,"1,363",39,189,71,"1,064","10,114","3,910","5,510",694,
,State Total,,"2,889,450","14,959",179,"1,368","2,582","10,830","109,038","34,764","68,171","6,103",
,,"Rate per 100,000 inhabitants",,517.7,6.2,47.3,89.4,374.8,"3,773.7","1,203.1","2,359.3",211.2,
CALIFORNIA,Metropolitan Statistical Area,,"36,127,220",,,,,,,,,,
,,Area actually reporting,100.0%,"171,240","1,941","8,412","63,726","97,161","992,141","224,746","605,031","162,364",
,Cities outside metropolitan areas,,"267,466",,,,,,,,,,
,,Area actually reporting,100.0%,"1,320",6,108,213,993,"9,033","2,400","5,989",644,
,Nonmetropolitan counties,,"566,978",,,,,,,,,,
,,Area actually reporting,100.0%,"1,899",25,193,154,"1,527","8,440","2,991","4,436","1,013",
,State Total,,"36,961,664","174,459","1,972","8,713","64,093","99,681","1,009,614","230,137","615,456","164,021",
,,"Rate per 100,000 inhabitants",,472.0,5.3,23.6,173.4,269.7,"2,731.5",622.6,"1,665.1",443.8,
COLORADO,Metropolitan Statistical Area,,"4,337,573",,,,, ,,,,,
,,Area actually reporting,99.7%,"15,261",157,"2,030","3,285","9,789","119,558","24,124","83,645","11,789",
,,Estimated total,100.0%,"15,291",157,"2,034","3,291","9,809","119,895","24,177","83,899","11,819",
,Cities outside metropolitan areas,,"314,714",,,,,,,,,,
,,Area actually reporting,92.2%,"1,037",12,140,71,814,"9,883","1,551","7,975",357,
,,Estimated total,100.0%,"1,125",13,152,77,883,"10,722","1,683","8,652",387,
,Nonmetropolitan counties,,"372,461",,,,,,,,,,
,,Area actually reporting,88.7%,497,4,50,17,426,"2,974",700,"2,050",224,
,,Estimated total,100.0%,560,5,56,19,480,"3,351",789,"2,310",252,
,State Total,,"5,024,748","16,976",175,"2,242","3,387","11,172","133,968","26,649","94,861","12,458",
,,"Rate per 100,000 inhabitants",,337.8,3.5,44.6,67.4,222.3,"2,666.2",530.4,"1,887.9",247.9,
CONNECTICUT,Metropolitan Statistical Area,,"2,818,870",,,,,,,,,,
,,Area actually reporting,100.0%,"9,907",98,548,"3,878","5,383","74,554","13,089","54,562","6,903",
,Cities outside metropolitan areas,,"157,654",,,,,,,,,,
,,Area actually reporting,100.0%,255,1,40,63,151,"2,853",582,"2,142",129,
,Nonmetropolitan counties,,"541,764",,,,,,,,,,
,,Area actually reporting,100.0%,346,8,63,49,226,"4,774","1,402","2,928",444,
,State Total,,"3,518,288","10,508",107,651,"3,990","5,760","82,181","15,073","59,632","7,476",
,,"Rate per 100,000 inhabitants",,298.7,3.0,18.5,113.4,163.7,"2,335.8",428.4,"1,694.9",212.5,
DELAWARE,Metropolitan Statistical Area,,"692,991",,,,,,,,,,
,,Area actually reporting,100.0%,"4,546",37,228,"1,457","2,824","23,385","5,071","16,660","1,654",
,Cities outside metropolitan areas,,"43,137",,,,,,,,,,
,,Area actually reporting,98.2%,399,1,40,110,248,"2,392",517,"1,810",65,
,,Estimated total,100.0%,407,1,41,112,253,"2,437",527,"1,844",66,
,Nonmetropolitan counties,,"148,994",,, ,,,,,,,
,,Area actually reporting,100.0%,682,3,69,102,508,"3,826","1,334","2,305",187,
,State Total,,"885,122","5,635",41,338,"1,671","3,585","29,648","6,932","20,809","1,907",
,,"Rate per 100,000 inhabitants",,636.6,4.6,38.2,188.8,405.0,"3,349.6",783.2,"2,351.0",215.5,
DISTRICT OF COLUMBIA1,Metropolitan Statistical Area,,"599,657",,,,,,,,,,
,,Area actually reporting,100.0%,"8,071",144,150,"4,389","3,388","28,456","3,696","19,228","5,532",
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,Total,,"599,657","8,071",144,150,"4,389","3,388","28,456","3,696","19,228","5,532",
,,"Rate per 100,000 inhabitants",,"1,345.9",24.0,25.0,731.9,565.0,"4,745.4",616.4,"3,206.5",922.5,
FLORIDA,Metropolitan Statistical Area,,"17,451,538", ,,,,, ,,,,
,,Area actually reporting,99.9%,"107,889",967,"5,139","30,193","71,590","681,390","171,407","461,293","48,690",
,,Estimated total,100.0%,"107,967",967,"5,143","30,217","71,640","681,988","171,541","461,716","48,731",
,Cities outside metropolitan areas,,"184,846",,,,,,,,,,
,,Area actually reporting,99.1%,"1,594",13,96,332,"1,153","9,016","2,462","6,159",395,
,,Estimated total,100.0%,"1,608",13,97,335,"1,163","9,098","2,484","6,215",399,
,Nonmetropolitan counties,,"901,585",,,,,,,,,,
,,Area actually reporting,99.1%,"3,932",37,259,356,"3,280","20,738","7,789","11,830","1,119",
,,Estimated total,100.0%,"3,966",37,261,359,"3,309","20,924","7,859","11,936","1,129",
,State Total,,"18,537,969","113,541","1,017","5,501","30,911","76,112","712,010","181,884","479,867","50,259",
,,"Rate per 100,000 inhabitants",,612.5,5.5,29.7,166.7,410.6,"3,840.8",981.1,"2,588.6",271.1,
GEORGIA,Metropolitan Statistical Area,,"8,020,064",,,,,,,,,,
,,Area actually reporting,99.5%,"34,705",488,"1,882","13,314","19,021","301,213","82,261","188,558","30,394",
,,Estimated total,100.0%,"34,856",489,"1,891","13,365","19,111","302,613","82,601","189,500","30,512",
,Cities outside metropolitan areas,,"680,207",,,,,,,,,,
,,Area actually reporting,86.3%,"3,778",34,187,881,"2,676","29,474","7,062","21,465",947,
,,Estimated total,100.0%,"4,372",39,217,"1,019","3,097","34,106","8,171","24,839","1,096",
,Nonmetropolitan counties,,"1,128,940",,,,,,,,,,
,,Area actually reporting,94.5%,"2,505",36,182,207,"2,080","22,373","7,171","13,750","1,452",
,,Estimated total,100.0%,"2,652",38,193,219,"2,202","23,681","7,590","14,554","1,537",
,State Total,,"9,829,211","41,880",566,"2,301","14,603","24,410","360,400","98,362","228,893","33,145",
,,"Rate per 100,000 inhabitants",,426.1,5.8,23.4,148.6,248.3,"3,666.6","1,000.7","2,328.7",337.2,
HAWAII,Metropolitan Statistical Area,,"907,124",,,,,,,,,,
,,Area actually reporting,100.0%,"2,537",14,243,869,"1,411","33,375","5,999","23,647","3,729",
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,"388,054",,,,,,,,,,
,,Area actually reporting,100.0%,"1,022",8,149,165,700,"14,044","3,179","9,775","1,090",
,State Total, ,"1,295,178","3,559",22,392,"1,034","2,111","47,419","9,178","33,422","4,819",
,,"Rate per 100,000 inhabitants",,274.8,1.7,30.3,79.8,163.0,"3,661.2",708.6,"2,580.5",372.1,
IDAHO,Metropolitan Statistical Area,,"1,019,745",,,,,, ,,,,
,,Area actually reporting,99.3%,"2,553",16,390,211,"1,936","22,323","4,604","16,723",996,
,,Estimated total,100.0%,"2,566",16,392,212,"1,946","22,418","4,631","16,786","1,001",
,Cities outside metropolitan areas,,"240,694",,,,,,,,,,
,,Area actually reporting,99.3%,519,2,86,18,413,"5,221","1,044","3,952",225,
,,Estimated total,100.0%,523,2,87,18,416,"5,255","1,051","3,978",226,
,Nonmetropolitan counties, ,"285,362",,,,,,, ,,,
,,Area actually reporting,100.0%,441,4,73,15,349,"3,068",876,"1,977",215,
,State Total,,"1,545,801","3,530",22,552,245,"2,711","30,741","6,558","22,741","1,442",
,,"Rate per 100,000 inhabitants",,228.4,1.4,35.7,15.8,175.4,"1,988.7",424.2,"1,471.1",93.3,
"ILLINOIS2, 3 ",State Total,,"12,910,409","64,185",773,"3,901","22,923","36,588","353,347","77,850","248,821","26,676",
,,"Rate per 100,000 inhabitants",,497.2,6.0,30.2,177.6,283.4,"2,736.9",603.0,"1,927.3",206.6,
INDIANA,Metropolitan Statistical Area,,"5,034,111",,,,,,,,,,
,,Area actually reporting,90.0%,"18,722",261,"1,324","6,888","10,249","159,046","39,778","107,640","11,628",
,,Estimated total,100.0%,"19,389",270,"1,391","7,028","10,700","168,565","41,843","114,506","12,216",
,Cities outside metropolitan areas, ,"504,766",,,,,,,,,,
,,Area actually reporting,82.5%,893,7,118,203,565,"15,794","2,907","12,125",762,
,,Estimated total,100.0%,"1,083",9,143,246,685,"19,152","3,525","14,703",924,
,Nonmetropolitan counties,,"884,236",,,,,,,,,,
,,Area actually reporting,77.5%,722,24,82,60,556,"9,643","2,745","6,325",573,
,,Estimated total,100.0%,932,31,106,78,717,"12,443","3,542","8,162",739,
,State Total,,"6,423,113","21,404",310,"1,640","7,352","12,102","200,160","48,910","137,371","13,879",
,,"Rate per 100,000 inhabitants",,333.2,4.8,25.5,114.5,188.4,"3,116.2",761.5,"2,138.7",216.1,
IOWA,Metropolitan Statistical Area,,"1,704,661", ,,,,,,,,,
,,Area actually reporting,99.3%,"5,798",22,626,"1,050","4,100","48,263","10,449","35,062","2,752",
,,Estimated total,100.0%,"5,822",22,629,"1,053","4,118","48,510","10,495","35,255","2,760",
,Cities outside metropolitan areas,,"584,432",,,,,,,,,,
,,Area actually reporting,94.4%,"1,826",8,145,126,"1,547","15,275","3,635","10,938",702,
,,Estimated total,100.0%,"1,933",8,154,133,"1,638","16,174","3,849","11,582",743,
,Nonmetropolitan counties,,"718,763",,,,,,,,,,
,,Area actually reporting,98.6%,633,4,69,9,551,"4,689","1,853","2,456",380,
,,Estimated total,100.0%,642,4,70,9,559,"4,757","1,880","2,492",385,
,State Total,,"3,007,856","8,397",34,853,"1,195","6,315","69,441","16,224","49,329","3,888",
,,"Rate per 100,000 inhabitants",,279.2,1.1,28.4,39.7,210.0,"2,308.7",539.4,"1,640.0",129.3,
KANSAS,Metropolitan Statistical Area,,"1,927,388", ,,,,,,,,,
,,Area actually reporting,99.4%,"8,417",93,772,"1,590","5,962","65,554","13,682","47,007","4,865",
,,Estimated total,100.0%,"8,445",93,775,"1,593","5,984","65,820","13,729","47,212","4,879",
,Cities outside metropolitan areas,,"564,427",,,,,,,,,,
,,Area actually reporting,96.2%,"2,080",20,249,175,"1,636","19,342","3,988","14,578",776,
,,Estimated total,100.0%,"2,163",21,259,182,"1,701","20,110","4,146","15,157",807,
,Nonmetropolitan counties,,"326,932",,,,,,,,,,
,,Area actually reporting,95.1%,637,5,59,10,563,"4,271","1,516","2,500",255,
,,Estimated total,100.0%,670,5,62,11,592,"4,490","1,594","2,628",268,
,State Total,,"2,818,747","11,278",119,"1,096","1,786","8,277","90,420","19,469","64,997","5,954",
,,"Rate per 100,000 inhabitants",,400.1,4.2,38.9,63.4,293.6,"3,207.8",690.7,"2,305.9",211.2,
KENTUCKY4,Metropolitan Statistical Area,,"2,487,317", ,,,,, ,,,,
,,Area actually reporting,98.6%,"8,372",100,744,"3,059","4,469","74,701","18,564","52,082","4,055",
,,Estimated total,100.0%,"8,468",100,756,"3,093","4,519","75,844","18,816","52,919","4,109",
,Cities outside metropolitan areas,,"526,584",,,,,,,,,,
,,Area actually reporting,95.7%,"1,026",12,187,320,507,"15,817","3,523","11,685",609,
,,Estimated total,100.0%,"1,072",13,195,334,530,"16,532","3,682","12,213",637,
,Nonmetropolitan counties,,"1,300,212",,,,,,,,,,
,,Area actually reporting,89.8%,"1,453",58,501,181,713,"14,388","6,467","6,723","1,198",
,,Estimated total,100.0%,"1,619",65,558,202,794,"16,025","7,203","7,488","1,334",
,State Total,,"4,314,113","11,159",178,"1,509","3,629","5,843","108,401","29,701","72,620","6,080",
,,"Rate per 100,000 inhabitants",,258.7,4.1,35.0,84.1,135.4,"2,512.7",688.5,"1,683.3",140.9,
LOUISIANA,Metropolitan Statistical Area,,"3,349,906", ,,,,, ,,,,
,,Area actually reporting,98.2%,"20,338",460,947,"5,166","13,765","128,333","33,181","85,319","9,833",
,,Estimated total,100.0%,"20,754",464,960,"5,217","14,113","131,226","33,750","87,533","9,943",
,Cities outside metropolitan areas,,"390,156",,,,,,,,,,
,,Area actually reporting,74.6%,"2,616",20,129,410,"2,057","16,493","5,072","10,827",594,
,,Estimated total,100.0%,"3,506",27,173,549,"2,757","22,106","6,798","14,512",796,
,Nonmetropolitan counties,,"752,014",,,,,,,,,,
,,Area actually reporting,100.0%,"3,589",39,226,339,"2,985","17,124","5,698","10,448",978,
,State Total,,"4,492,076","27,849",530,"1,359","6,105","19,855","170,456","46,246","112,493","11,717",
,,"Rate per 100,000 inhabitants",,620.0,11.8,30.3,135.9,442.0,"3,794.6","1,029.5","2,504.3",260.8,
MAINE,Metropolitan Statistical Area,,"771,644",,,,,,,,,,
,,Area actually reporting,100.0%,979,17,196,345,421,"20,075","3,987","15,463",625,
,Cities outside metropolitan areas,,"275,182",,,,,,,,,,
,,Area actually reporting,100.0%,418,7,117,38,256,"7,868","1,404","6,250",214,
,Nonmetropolitan counties,,"271,475",,,,,,,,,,
,,Area actually reporting,100.0%,182,2,63,16,101,"3,742","1,337","2,223",182,
,State Total,,"1,318,301","1,579",26,376,399,778,"31,685","6,728","23,936","1,021",
,,"Rate per 100,000 inhabitants",,119.8,2.0,28.5,30.3,59.0,"2,403.5",510.4,"1,815.7",77.4,
MARYLAND,Metropolitan Statistical Area,,"5,392,905",,,,,,,,,,
,,Area actually reporting,100.0%,"32,495",435,"1,094","11,833","19,133","174,270","35,034","119,917","19,319",
,Cities outside metropolitan areas,,"79,700",,,,,,,,,,
,,Area actually reporting,100.0%,472,0,23,108,341,"3,932",800,"3,046",86,
,Nonmetropolitan counties,,"226,873",,,,,,,,,,
,,Area actually reporting,100.0%,656,3,39,66,548,"4,220","1,198","2,808",214,
,State Total,,"5,699,478","33,623",438,"1,156","12,007","20,022","182,422","37,032","125,771","19,619",
,,"Rate per 100,000 inhabitants",,589.9,7.7,20.3,210.7,351.3,"3,200.7",649.7,"2,206.7",344.2,
MASSACHUSETTS,Metropolitan Statistical Area,,"6,566,452",,,,,,,,,,
,,Area actually reporting,98.8%,"29,791",170,"1,675","7,377","20,569","149,468","34,078","103,791","11,599",
,,Estimated total,100.0%,"30,044",171,"1,693","7,425","20,755","151,047","34,460","104,883","11,704",
,Cities outside metropolitan areas,,"26,963",,,,,,,,,,
,,Area actually reporting,86.0%,80,1,7,2,70,746,176,543,27,
,,Estimated total,100.0%,92,1,8,2,81,867,205,631,31,
,Nonmetropolitan counties,,172,,,,,,,,,,
,,Area actually reporting,100.0%,0,0,0,0,0,0,0,0,0,
,State Total,,"6,593,587","30,136",172,"1,701","7,427","20,836","151,914","34,665","105,514","11,735",
,,"Rate per 100,000 inhabitants",,457.1,2.6,25.8,112.6,316.0,"2,304.0",525.7,"1,600.3",178.0,
MICHIGAN4,Metropolitan Statistical Area,,"8,130,632",,,,,,,,,,
,,Area actually reporting,99.4%,"45,446",593,"3,347","12,109","29,397","244,407","66,436","150,033","27,938",
,,Estimated total,100.0%,"45,597",593,"3,364","12,144","29,496","245,798","66,721","151,027","28,050",
,Cities outside metropolitan areas,,"633,364",,,,,,,,,,
,,Area actually reporting,90.5%,"1,434",6,368,115,945,"17,068","2,768","13,883",417,
,,Estimated total,100.0%,"1,555",7,400,122,"1,026","18,584","3,003","15,125",456,
,Nonmetropolitan counties,,"1,205,731",,,,,,,,,,
,,Area actually reporting,96.3%,"2,307",26,722,62,"1,497","17,855","5,867","11,143",845,
,,Estimated total,100.0%,"2,395",27,750,64,"1,554","18,536","6,091","11,568",877,
,State Total, ,"9,969,727","49,547",627,"4,514","12,330","32,076","282,918","75,815","177,720","29,383",
,,"Rate per 100,000 inhabitants",,497.0,6.3,45.3,123.7,321.7,"2,837.8",760.5,"1,782.6",294.7,
MINNESOTA3,Metropolitan Statistical Area,,"3,947,216",,,,,,,,,,
,,Area actually reporting,99.7%,,63,,"3,512","5,989","115,539","20,655","87,486","7,398",
,,Estimated total,100.0%,,63,,"3,516","5,996","115,837","20,698","87,728","7,411",
,Cities outside metropolitan areas,,"498,584",,,,,,,,,,
,,Area actually reporting,98.4%,,2,,86,820,"13,953","2,017","11,434",502,
,,Estimated total,100.0%,,2,,87,833,"14,174","2,049","11,615",510,
,Nonmetropolitan counties,,"820,414",,,,,,,,,,
,,Area actually reporting,97.4%,,9,,16,517,"8,834","2,669","5,583",582,
,,Estimated total,100.0%,,9,,16,531,"9,072","2,741","5,733",598,
,State Total,,"5,266,214","12,842",74,"1,789","3,619","7,360","139,083","25,488","105,076","8,519",
,,"Rate per 100,000 inhabitants",,243.9,1.4,34.0,68.7,139.8,"2,641.0",484.0,"1,995.3",161.8,
MISSISSIPPI,Metropolitan Statistical Area,,"1,308,437", ,,,,,,,,,
,,Area actually reporting,90.9%,"3,727",78,400,"1,678","1,571","44,345","13,327","27,658","3,360",
,,Estimated total,100.0%,"3,935",81,434,"1,723","1,697","46,970","14,125","29,307","3,538",
,Cities outside metropolitan areas,,"596,602",,,,,,,,,,
,,Area actually reporting,84.1%,"2,172",37,240,782,"1,113","22,196","7,482","13,858",856,
,,Estimated total,100.0%,"2,584",44,286,930,"1,324","26,405","8,901","16,486","1,018",
,Nonmetropolitan counties,,"1,046,957",,,,,,,,,,
,,Area actually reporting,58.1%,"1,037",38,127,181,691,"8,023","3,566","3,966",491,
,,Estimated total,100.0%,"1,785",65,219,312,"1,189","13,806","6,136","6,825",845,
,State Total,,"2,951,996","8,304",190,939,"2,965","4,210","87,181","29,162","52,618","5,401",
,,"Rate per 100,000 inhabitants",,281.3,6.4,31.8,100.4,142.6,"2,953.3",987.9,"1,782.5",183.0,
MISSOURI,Metropolitan Statistical Area,,"4,504,484", ,,,,,,,,,
,,Area actually reporting,99.5%,"25,031",335,"1,321","7,109","16,266","166,799","35,249","115,775","15,775",
,,Estimated total,100.0%,"25,104",336,"1,326","7,126","16,316","167,573","35,384","116,360","15,829",
,Cities outside metropolitan areas,,"643,622",,,,,,,,,,
,,Area actually reporting,98.1%,"2,543",24,171,275,"2,073","23,790","4,280","18,730",780,
,,Estimated total,100.0%,"2,592",24,174,280,"2,114","24,258","4,364","19,099",795,
,Nonmetropolitan counties,,"839,474",,,,,,,,,,
,,Area actually reporting,100.0%,"1,748",23,107,46,"1,572","10,867","4,039","5,973",855,
,State Total,,"5,987,580","29,444",383,"1,607","7,452","20,002","202,698","43,787","141,432","17,479",
,,"Rate per 100,000 inhabitants",,491.8,6.4,26.8,124.5,334.1,"3,385.3",731.3,"2,362.1",291.9,
MONTANA,Metropolitan Statistical Area,,"344,222", ,,,,,,,,,
,,Area actually reporting,100.0%,859,11,88,151,609,"11,129","1,646","8,892",591,
,Cities outside metropolitan areas,,"214,560",,,,,,,,,,
,,Area actually reporting,98.9%,621,8,92,35,486,"6,757",736,"5,623",398,
,,Estimated total,100.0%,627,8,93,35,491,"6,831",744,"5,685",402,
,Nonmetropolitan counties,,"416,207",,,,,,,,,,
,,Area actually reporting,98.2%,969,9,111,29,820,"5,955",978,"4,522",455,
,,Estimated total,100.0%,987,9,113,30,835,"6,064",996,"4,605",463,
,State Total,,"974,989","2,473",28,294,216,"1,935","24,024","3,386","19,182","1,456",
,,"Rate per 100,000 inhabitants",,253.6,2.9,30.2,22.2,198.5,"2,464.0",347.3,"1,967.4",149.3,
NEBRASKA,Metropolitan Statistical Area,,"1,053,696",,,,,,,,,,
,,Area actually reporting,99.3%,"3,952",36,394,"1,131","2,391","34,111","5,926","25,403","2,782",
,,Estimated total,100.0%,"3,960",36,397,"1,132","2,395","34,286","5,950","25,544","2,792",
,Cities outside metropolitan areas,,"387,558",,,,,,,,,,
,,Area actually reporting,94.0%,797,4,147,72,574,"11,372","1,744","9,155",473,
,,Estimated total,100.0%,848,4,156,77,611,"12,096","1,855","9,738",503,
,Nonmetropolitan counties,,"355,365",,,,,,,,,,
,,Area actually reporting,80.8%,203,0,34,8,161,"2,612",724,"1,738",150,
,,Estimated total,100.0%,251,0,42,10,199,"3,232",896,"2,150",186,
,State Total,,"1,796,619","5,059",40,595,"1,219","3,205","49,614","8,701","37,432","3,481",
,,"Rate per 100,000 inhabitants",,281.6,2.2,33.1,67.8,178.4,"2,761.5",484.3,"2,083.5",193.8,
NEVADA,Metropolitan Statistical Area,,"2,376,643",,,,,,,,,,
,,Area actually reporting,100.0%,"17,785",151,939,"5,960","10,735","76,237","20,640","43,585","12,012",
,Cities outside metropolitan areas,,"46,868",,,,,,,,,,
,,Area actually reporting,100.0%,224,1,31,20,172,"1,490",446,949,95,
,Nonmetropolitan counties,,"219,574",,,,,,,,,,
,,Area actually reporting,100.0%,550,5,51,41,453,"3,036",908,"1,856",272,
,State Total,,"2,643,085","18,559",157,"1,021","6,021","11,360","80,763","21,994","46,390","12,379",
,,"Rate per 100,000 inhabitants",,702.2,5.9,38.6,227.8,429.8,"3,055.6",832.1,"1,755.1",468.4,
NEW HAMPSHIRE,Metropolitan Statistical Area,,"826,814",,,,,,,,,,
,,Area actually reporting,91.6%,"1,337",9,206,315,807,"16,401","2,773","12,955",673,
,,Estimated total,100.0%,"1,392",9,216,324,843,"17,332","2,921","13,700",711,
,Cities outside metropolitan areas,,"446,945",,,,,,,,,,
,,Area actually reporting,89.8%,603,1,152,116,334,"9,875","1,675","7,844",356,
,,Estimated total,100.0%,671,1,169,129,372,"10,993","1,865","8,732",396,
,Nonmetropolitan counties,,"50,816",,,,,,,,,,
,,Area actually reporting,2.9%,15,0,5,0,10,71,16,48,7,
,,Estimated total,100.0%,51,0,15,2,34,299,142,140,17,
,State Total,,"1,324,575","2,114",10,400,455,"1,249","28,624","4,928","22,572","1,124",
,,"Rate per 100,000 inhabitants",,159.6,0.8,30.2,34.4,94.3,"2,161.0",372.0,"1,704.1",84.9,
NEW JERSEY,Metropolitan Statistical Area,,"8,707,739",,,,,,,,,,
,,Area actually reporting,99.9%,"27,112",319,"1,041","11,635","14,117","181,025","37,248","128,274","15,503",
,,Estimated total,100.0%,"27,121",319,"1,041","11,639","14,122","181,097","37,262","128,327","15,508",
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,State Total,,"8,707,739","27,121",319,"1,041","11,639","14,122","181,097","37,262","128,327","15,508",
,,"Rate per 100,000 inhabitants",,311.5,3.7,12.0,133.7,162.2,"2,079.7",427.9,"1,473.7",178.1,
NEW MEXICO,Metropolitan Statistical Area,,"1,337,330", ,,,,, ,,,,
,,Area actually reporting,98.0%,"7,880",92,657,"1,529","5,602","51,896","14,358","32,306","5,232",
,,Estimated total,100.0%,"8,019",93,667,"1,542","5,717","52,811","14,581","32,931","5,299",
,Cities outside metropolitan areas,,"382,883",,,,,,,,,,
,,Area actually reporting,96.5%,"3,355",58,270,256,"2,771","16,882","5,056","11,108",718,
,,Estimated total,100.0%,"3,477",60,280,265,"2,872","17,496","5,240","11,512",744,
,Nonmetropolitan counties,,"289,458",,,,,,,,,,
,,Area actually reporting,72.5%,685,16,80,46,543,"3,458","1,595","1,549",314,
,,Estimated total,100.0%,944,22,110,63,749,"4,771","2,201","2,137",433,
,State Total,,"2,009,671","12,440",175,"1,057","1,870","9,338","75,078","22,022","46,580","6,476",
,,"Rate per 100,000 inhabitants",,619.0,8.7,52.6,93.1,464.7,"3,735.8","1,095.8","2,317.8",322.2,
NEW YORK,Metropolitan Statistical Area,,"17,999,657",,,,,,,,,,
,,Area actually reporting,99.8%,"72,234",761,"2,173","27,822","41,478","348,884","56,201","271,492","21,191",
,,Estimated total,100.0%,"72,315",761,"2,176","27,851","41,527","349,799","56,330","272,244","21,225",
,Cities outside metropolitan areas,,"565,896",,,,,,,,,,
,,Area actually reporting,98.0%,"1,497",5,167,201,"1,124","15,352","2,764","12,285",303,
,,Estimated total,100.0%,"1,527",5,170,205,"1,147","15,666","2,821","12,536",309,
,Nonmetropolitan counties,,"975,900",,,,,,,,,,
,,Area actually reporting,100.0%,"1,334",12,240,80,"1,002","12,850","3,691","8,823",336,
,State Total,,"19,541,453","75,176",778,"2,586","28,136","43,676","378,315","62,842","293,603","21,870",
,,"Rate per 100,000 inhabitants",,384.7,4.0,13.2,144.0,223.5,"1,936.0",321.6,"1,502.5",111.9,
NORTH CAROLINA,Metropolitan Statistical Area,,"6,620,271",,,,,,,,,,
,,Area actually reporting,99.0%,"27,801",329,"1,678","9,529","16,265","249,646","73,918","160,567","15,161",
