Table 26,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2016",,,,,
State,City,Population,"Total law
enforcement
employees","Total 
officers","Total 
civilians"
,Prescott Valley,"42,900",81,61,20
,Quartzsite,"3,615",12,11,1
,Safford,"9,717",25,21,4
,Sahuarita,"25,792",50,43,7
,San Luis,"32,227",54,35,19
,Scottsdale,"240,885",633,401,232
,Sedona,"10,457",37,22,15
,Show Low,"10,892",40,28,12
,Sierra Vista,"42,988",94,70,24
,Snowflake-Taylor,"9,835",22,13,9
,Somerton,"15,196",27,19,8
,South Tucson,"5,727",20,18,2
,Springerville,"1,952",9,7,2
,St. Johns,"3,482",9,6,3
,Superior,"2,963",9,8,1
,Surprise,"130,679",181,127,54
,Tempe,"178,654",493,355,138
,Thatcher,"5,019",12,11,1
,Tolleson,"7,105",41,29,12
,Tombstone,"1,298",10,7,3
,Tucson,"533,663","1,168",870,298
,Wellton,"2,944",7,6,1
,Wickenburg,"6,835",23,16,7
,Willcox,"3,511",17,9,8
,Williams,"3,140",21,13,8
,Winslow,"9,581",31,21,10
,Yuma,"94,696",258,170,88
ARKANSAS,Alexander,"2,841",6,6,0
,Alma,"5,595",21,13,8
,Arkadelphia,"10,755",29,23,6
,Ashdown,"4,434",13,11,2
,Ash Flat,"1,060",4,4,0
,Atkins,"3,056",8,7,1
,Augusta,"2,024",6,6,0
,Austin,"3,723",4,4,0
,Bald Knob,"2,910",9,6,3
,Barling,"4,748",12,12,0
,Batesville,"10,732",24,23,1
,Bay,"1,815",3,3,0
,Bearden,884,1,1,0
,Beebe,"8,269",27,18,9
,Bella Vista,"28,274",40,27,13
,Benton,"34,920",90,64,26
,Bentonville,"46,458",98,68,30
,Berryville,"5,386",14,12,2
,Bethel Heights,"2,512",7,6,1
,Black Rock,618,1,1,0
,Blytheville,"14,523",49,37,12
,Bono,"2,257",4,4,0
,Booneville,"3,872",13,9,4
,Bradford,760,2,2,0
,Brinkley,"2,837",15,10,5
,Brookland,"3,245",5,5,0
,Bryant,"20,687",48,39,9
,Bull Shoals,"1,929",3,3,0
,Cabot,"25,927",53,42,11
,Caddo Valley,602,4,4,0
,Camden,"11,191",42,26,16
,Cammack Village,744,4,4,0
,Caraway,"1,268",3,3,0
,Carlisle,"2,176",9,5,4
,Cave City,"1,861",4,4,0
,Cave Springs,"3,369",7,7,0
,Centerton,"12,584",22,20,2
,Charleston,"2,475",5,5,0
,Cherokee Village,"4,583",9,8,1
,Clarendon,"1,475",5,4,1
,Clarksville,"9,482",22,18,4
,Clinton,"2,526",8,7,1
,Conway,"66,104",166,126,40
,Corning,"3,122",12,8,4
,Cotter,947,2,2,0
,Crossett,"5,166",27,17,10
,Damascus,382,2,2,0
,Danville,"2,338",6,5,1
,Dardanelle,"4,642",17,10,7
,Decatur,"1,787",6,6,0
,Dell,206,1,1,0
,De Queen,"6,724",16,14,2
,Dermott,"2,688",13,7,6
,Des Arc,"1,624",4,4,0
,De Valls Bluff,581,1,1,0
,De Witt,"3,162",13,9,4
,Diamond City,781,1,1,0
,Diaz,"1,235",2,2,0
,Dierks,"1,084",3,3,0
,Dover,"1,401",5,5,0
,Dumas,"4,253",20,11,9
,Dyer,857,1,1,0
,El Dorado,"18,297",68,51,17
,Elkins,"3,005",6,6,0
,England,"2,752",15,11,4
,Etowah,325,1,1,0
,Eudora,"2,070",6,4,2
,Eureka Springs,"2,084",16,12,4
,Fairfield Bay,"2,254",17,7,10
,Farmington,"6,852",12,11,1
,Fayetteville,"84,726",169,123,46
,Flippin,"1,331",7,6,1
,Fordyce,"3,979",14,9,5
,Forrest City,"14,544",42,32,10
,Fort Smith,"88,573",189,141,48
,Gassville,"2,144",4,4,0
,Gentry,"3,443",10,8,2
,Glenwood,"2,125",2,2,0
,Gosnell,"3,261",7,7,0
,Gravette,"3,253",10,9,1
,Greenbrier,"5,416",15,9,6
,Green Forest,"2,769",13,10,3
,Greenland,"1,406",4,4,0
,Greenwood,"9,372",21,20,1
,Greers Ferry,867,4,3,1
,Gurdon,"2,132",5,4,1
,Guy,721,2,2,0
,Hamburg,"2,772",6,5,1
,Hampton,"1,274",3,3,0
,Hardy,756,3,3,0
,Harrisburg,"2,304",6,5,1
,Harrison,"13,178",43,31,12
,Hazen,"1,392",6,5,1
,Heber Springs,"7,144",24,15,9
,Helena-West Helena,"10,898",33,21,12
,Higginson,659,1,1,0
,Highfill,641,3,3,0
,Highland,"1,056",3,3,0
,Hope,"9,852",31,25,6
,Hot Springs,"35,716",130,102,28
,Hoxie,"2,660",4,4,0
,Hughes,"1,302",3,3,0
,Jacksonville,"28,684",86,72,14
,Jasper,446,1,1,0
,Johnson,"3,683",13,12,1
,Jonesboro,"75,230",182,155,27
,Judsonia,"2,028",4,3,1
,Keiser,694,1,1,0
,Kensett,"1,650",3,3,0
,Lake City,"2,374",4,4,0
,Lakeview,723,2,2,0
,Lake Village,"2,388",16,10,6
,Lamar,"1,680",3,3,0
,Lavaca,"2,425",3,3,0
,Leachville,"1,845",4,3,1
,Lepanto,"1,824",7,3,4
,Lewisville,"1,161",1,1,0
,Lincoln,"2,468",5,5,0
,Little Flock,"2,781",6,6,0
,Little Rock,"198,800",639,525,114
,Lonoke,"4,248",16,11,5
,Lowell,"8,812",24,18,6
,Luxora,"1,088",2,2,0
,Magnolia,"11,642",23,21,2
,Malvern,"11,016",24,22,2
,Mammoth Spring,968,2,2,0
,Mansfield,"1,088",4,4,0
,Marianna,"3,701",24,12,12
,Marion,"12,270",30,27,3
,Marked Tree,"2,489",10,6,4
,Marmaduke,"1,238",4,4,0
,Marvell,"1,022",7,4,3
,Maumelle,"18,068",41,32,9
,Mayflower,"2,473",11,9,2
,McCrory,"1,577",5,5,0
,McGehee,"3,866",25,10,15
,McRae,679,2,2,0
,Mena,"5,635",15,14,1
,Menifee,306,1,1,0
,Mineral Springs,"1,152",2,2,0
,Monette,"1,533",3,3,0
,Monticello,"9,860",28,21,7
,Morrilton,"6,733",26,23,3
,Mountain Home,"12,305",34,26,8
,Mountain View,"2,856",11,10,1
,Mulberry,"1,630",3,3,0
,Murfreesboro,"1,569",3,3,0
,Nashville,"4,450",17,16,1
,Newport,"7,733",19,13,6
,North Little Rock,"67,344",215,178,37
,Ola,"1,246",4,3,1
,Osceola,"7,138",38,25,13
,Ozark,"3,572",11,9,2
,Pangburn,602,2,2,0
,Paragould,"28,254",59,48,11
,Paris,"3,427",14,9,5
,Parkin,"1,047",2,2,0
,Pea Ridge,"5,331",15,14,1
,Perryville,"1,426",5,5,0
,Piggott,"3,619",8,8,0
,Pine Bluff,"43,976",173,143,30
,Plainview,596,1,1,0
,Plumerville,801,4,4,0
,Pocahontas,"6,405",15,14,1
,Pottsville,"3,131",9,7,2
,Prairie Grove,"5,345",10,10,0
,Prescott,"3,103",10,9,1
,Quitman,738,4,4,0
,Ravenden,446,1,1,0
,Redfield,"1,593",7,6,1
,Rison,"1,270",3,3,0
,Rogers,"64,616",139,98,41
,Rose Bud,482,3,2,1
,Russellville,"29,366",57,51,6
,Salem,"1,635",3,3,0
,Searcy,"24,452",65,50,15
,Shannon Hills,"3,926",5,5,0
,Sheridan,"4,858",30,14,16
,Sherwood,"30,676",95,67,28
,Siloam Springs,"16,277",46,31,15
,Springdale,"79,288",200,142,58
,Stamps,"1,525",5,2,3
,Star City,"2,163",6,5,1
,St. Charles,220,1,1,0
,Stuttgart,"9,002",29,22,7
,Sulphur Springs,529,3,3,0
,Swifton,748,1,1,0
,Texarkana,"30,429",104,80,24
,Trumann,"7,118",25,18,7
,Tuckerman,"1,739",5,4,1
,Tyronza,741,2,2,0
,Van Buren,"23,133",57,44,13
,Vilonia,"4,568",9,9,0
,Waldron,"3,406",10,9,1
,Walnut Ridge,"4,630",8,8,0
,Ward,"4,835",11,10,1
,Warren,"5,767",19,12,7
,Weiner,683,1,1,0
,West Fork,"2,587",5,5,0
,West Memphis,"24,818",96,76,20
,White Hall,"5,114",17,15,2
,Wynne,"8,161",20,18,2
CALIFORNIA,Alameda,"79,597",110,81,29
,Albany,"19,975",32,24,8
,Alhambra,"86,035",125,84,41
,Alturas,"2,549",7,7,0
,Anaheim,"353,504",562,408,154
,Anderson,"10,273",23,17,6
,Angels Camp,"3,755",7,6,1
,Antioch,"112,090",123,95,28
,Arcadia,"58,816",91,66,25
,Arcata,"17,913",38,25,13
,Arroyo Grande,"18,280",30,26,4
,Arvin,"21,195",30,22,8
,Atascadero,"30,108",38,28,10
,Atherton,"7,218",27,19,8
,Atwater,"29,437",34,27,7
,Auburn,"14,078",27,20,7
,Avenal,"12,941",17,15,2
,Azusa,"50,393",94,57,37
,Bakersfield,"378,788",530,390,140
,Baldwin Park,"77,400",98,65,33
,Banning,"31,191",43,27,16
,Barstow,"23,894",54,36,18
,Bear Valley,"5,464",12,6,6
,Beaumont,"45,249",56,38,18
,Bell,"36,347",45,33,12
,Bell Gardens,"43,316",72,50,22
,Belmont,"27,492",44,30,14
,Belvedere,"2,131",8,7,1
,Benicia,"28,400",49,33,16
,Berkeley,"122,651",263,175,88
,Beverly Hills,"35,018",184,117,67
,Bishop,"3,793",16,10,6
,Blythe,"18,961",31,21,10
,Brawley,"26,076",50,36,14
,Brea,"42,465",95,61,34
,Brentwood,"60,512",83,62,21
,Brisbane,"4,807",18,15,3
,Broadmoor,"4,411",11,10,1
,Buena Park,"83,768",121,81,40
,Burbank,"105,720",234,154,80
,Burlingame,"30,792",56,36,20
,Calexico,"40,336",35,23,12
,California City,"13,244",26,16,10
,Calipatria,"7,384",3,3,0
,Calistoga,"5,364",14,9,5
,Campbell,"41,457",67,42,25
,Capitola,"10,241",29,21,8
,Carlsbad,"115,040",150,103,47
,Carmel,"3,931",24,14,10
,Cathedral City,"54,317",74,49,25
,Central Marin,"35,265",46,41,5
,Ceres,"48,372",62,46,16
,Chico,"91,122",137,86,51
,Chino,"87,081",159,107,52
,Chowchilla,"18,487",24,16,8
,Chula Vista,"270,175",305,225,80
,Citrus Heights,"87,811",134,88,46
,Claremont,"36,553",61,37,24
,Clayton,"12,057",12,10,2
,Clearlake,"15,165",28,23,5
,Cloverdale,"8,848",22,15,7
,Clovis,"105,865",162,100,62
,Coalinga,"16,282",32,21,11
,Colma,"1,534",24,18,6
,Colton,"55,100",72,46,26
,Colusa,"5,926",9,8,1
,Concord,"129,903",201,150,51
,Corcoran,"22,111",29,17,12
,Corning,"7,522",19,12,7
,Corona,"166,534",225,158,67
,Coronado,"24,974",63,42,21
,Costa Mesa,"113,816",172,112,60
,Cotati,"7,479",15,10,5
,Covina,"49,222",87,59,28
,Crescent City,"6,622",10,9,1
,Culver City,"39,880",153,100,53
,Cypress,"49,557",69,53,16
,Daly City,"107,640",133,100,33
,Davis,"68,087",91,60,31
,Delano,"52,656",69,50,19
,Del Rey Oaks,"1,700",6,6,0
,Desert Hot Springs,"28,573",30,24,6
,Dinuba,"24,156",49,38,11
,Dixon,"19,592",24,19,5
,Dos Palos,"5,158",8,7,1
,Downey,"114,704",150,106,44
,East Palo Alto,"29,957",40,33,7
,El Cajon,"104,483",179,121,58
,El Centro,"44,213",71,48,23
,El Cerrito,"25,222",47,40,7
,Elk Grove,"169,742",211,128,83
,El Monte,"117,354",152,108,44
,El Segundo,"17,113",73,56,17
,Emeryville,"12,060",51,38,13
,Escalon,"7,601",11,10,1
,Escondido,"152,897",211,156,55
,Etna,712,3,3,0
,Eureka,"26,981",71,47,24
,Exeter,"10,589",18,16,2
,Fairfax,"7,662",16,11,5
,Fairfield,"114,521",169,114,55
,Farmersville,"10,812",15,13,2
,Ferndale,"1,368",4,4,0
,Firebaugh,"8,484",15,11,4
,Folsom,"77,245",95,70,25
,Fontana,"209,531",275,185,90
,Fort Bragg,"7,292",21,15,6
,Fortuna,"12,013",22,15,7
,Foster City,"34,081",50,36,14
,Fountain Valley,"57,291",80,59,21
,Fowler,"6,397",13,12,1
,Fremont,"235,881",282,180,102
,Fresno,"524,796","1,013",748,265
,Fullerton,"141,968",210,141,69
,Galt,"25,638",49,33,16
,Gardena,"60,770",119,95,24
,Garden Grove,"176,230",218,159,59
,Gilroy,"54,130",87,62,25
,Glendale,"202,903",328,232,96
,Glendora,"52,380",86,51,35
,Gonzales,"8,533",13,10,3
,Grass Valley,"12,961",24,21,3
,Greenfield,"17,343",21,18,3
,Gridley,"6,584",19,14,5
,Grover Beach,"13,686",26,18,8
,Guadalupe,"7,365",13,11,2
,Gustine,"5,801",12,10,2
,Hanford,"55,973",77,53,24
,Hawthorne,"89,299",136,88,48
,Hayward,"161,122",310,194,116
,Healdsburg,"11,830",26,17,9
,Hemet,"84,838",92,62,30
,Hercules,"25,553",22,20,2
,Hermosa Beach,"19,930",62,34,28
,Hillsborough,"11,575",33,25,8
,Hollister,"37,953",33,27,6
,Huntington Beach,"204,071",334,214,120
,Huntington Park,"59,692",86,51,35
,Huron,"6,852",17,10,7
,Imperial,"17,582",22,18,4
,Indio,"89,201",99,63,36
,Inglewood,"112,059",219,175,44
,Ione,"6,860",6,6,0
,Irvine,"266,663",301,213,88
,Irwindale,"1,440",35,28,7
,Jackson,"4,649",11,10,1
,Kensington,"5,364",10,10,0
,Kerman,"14,654",22,19,3
,King City,"14,111",17,13,4
,Kingsburg,"11,905",17,14,3
,Laguna Beach,"23,486",83,49,34
,La Habra,"62,483",99,69,30
,Lakeport,"4,817",13,12,1
,Lake Shastina,"2,546",3,3,0
,La Mesa,"60,681",97,68,29
,La Palma,"15,975",25,19,6
,La Verne,"33,011",60,40,20
,Lemoore,"25,875",38,31,7
,Lincoln,"47,206",27,20,7
,Lindsay,"13,533",19,14,5
,Livermore,"89,553",133,89,44
,Livingston,"14,076",25,17,8
,Lodi,"65,067",97,67,30
,Lompoc,"44,541",68,45,23
,Long Beach,"476,476","1,173",806,367
,Los Alamitos,"11,774",26,23,3
,Los Altos,"31,000",42,27,15
,Los Angeles,"4,007,905","12,692","9,850","2,842"
,Los Banos,"37,738",62,37,25
,Los Gatos,"30,947",54,37,17
,Madera,"64,753",78,60,18
,Mammoth Lakes,"7,891",13,10,3
,Manhattan Beach,"35,955",105,66,39
,Manteca,"77,104",86,59,27
,Marina,"21,539",35,28,7
,Martinez,"38,541",45,33,12
,Marysville,"12,241",25,18,7
,McFarland,"14,263",16,13,3
,Mendota,"11,481",16,14,2
,Menlo Park,"33,726",67,47,20
,Merced,"83,106",125,89,36
,Mill Valley,"14,491",26,20,6
,Milpitas,"79,990",109,85,24
,Modesto,"212,880",300,214,86
,Monrovia,"37,637",82,51,31
,Montclair,"39,085",68,47,21
,Montebello,"64,206",99,66,33
,Monterey,"28,506",61,43,18
,Monterey Park,"61,710",98,69,29
,Moraga,"17,505",12,11,1
,Morgan Hill,"44,015",59,39,20
,Morro Bay,"10,719",19,17,2
,Mountain View,"81,726",129,86,43
,Mount Shasta,"3,277",12,9,3
,Murrieta,"111,043",128,89,39
,Napa,"81,115",110,69,41
,National City,"61,550",120,86,34
,Nevada City,"3,167",12,10,2
,Newark,"45,893",77,55,22
,Newman,"11,037",15,12,3
,Newport Beach,"87,482",228,140,88
,Novato,"56,263",80,56,24
,Oakdale,"22,572",32,22,10
,Oakland,"424,998","1,046",750,296
,Oceanside,"177,340",278,204,74
,Ontario,"172,606",339,254,85
,Orange,"141,841",213,143,70
,Orange Cove,"9,706",12,11,1
,Orland,"7,587",13,11,2
,Oroville,"16,322",44,24,20
,Oxnard,"209,048",337,227,110
,Pacifica,"39,650",35,33,2
,Pacific Grove,"15,795",24,14,10
,Palm Springs,"47,909",127,88,39
,Palo Alto,"67,317",137,79,58
,Palos Verdes Estates,"13,730",35,29,6
,Paradise,"26,532",33,19,14
,Parlier,"15,262",11,10,1
,Pasadena,"143,288",357,234,123
,Paso Robles,"31,939",44,31,13
,Petaluma,"60,933",82,58,24
,Piedmont,"11,515",27,19,8
,Pinole,"19,451",33,22,11
,Pismo Beach,"8,264",31,19,12
,Pittsburg,"70,663",96,77,19
,Placentia,"52,800",68,45,23
,Placerville,"10,705",26,18,8
,Pleasant Hill,"35,140",57,41,16
,Pleasanton,"81,464",110,77,33
,Pomona,"154,109",261,154,107
,Porterville,"56,421",86,60,26
,Port Hueneme,"22,570",27,21,6
,Red Bluff,"14,138",38,24,14
,Redding,"91,918",131,98,33
,Redlands,"71,485",118,80,38
,Redondo Beach,"68,447",143,92,51
,Redwood City,"87,046",116,91,25
,Reedley,"25,828",40,27,13
,Rialto,"103,893",142,105,37
,Richmond,"110,868",242,177,65
,Ridgecrest,"29,003",50,32,18
,Rio Dell,"3,390",5,5,0
,Rio Vista,"8,554",14,12,2
,Ripon,"15,318",31,22,9
,Riverside,"325,896",503,350,153
,Rocklin,"62,006",79,55,24
,Rohnert Park,"42,723",85,59,26
,Roseville,"132,566",183,125,58
,Ross,"2,492",8,8,0
,Sacramento,"495,471",954,652,302
,Salinas,"158,729",191,134,57
,San Bernardino,"217,303",360,215,145
,San Bruno,"43,613",65,49,16
,Sand City,391,10,9,1
,San Diego,"1,413,414","2,522","1,815",707
,San Fernando,"25,194",41,27,14
,San Francisco,"871,155","2,892","2,296",596
,San Gabriel,"40,580",64,49,15
,Sanger,"25,078",37,33,4
,San Jose,"1,041,844","1,352",939,413
,San Leandro,"91,870",131,90,41
,San Luis Obispo,"47,774",78,55,23
,San Marino,"13,528",30,25,5
,San Mateo,"104,802",148,111,37
,San Pablo,"30,674",67,46,21
,San Rafael,"59,435",86,65,21
,San Ramon,"76,901",81,65,16
,Santa Ana,"337,419",523,310,213
,Santa Barbara,"92,519",205,140,65
,Santa Clara,"128,179",215,144,71
,Santa Cruz,"64,969",115,93,22
,Santa Maria,"106,200",166,111,55
,Santa Monica,"93,921",374,204,170
,Santa Paula,"30,784",38,30,8
,Santa Rosa,"176,383",251,172,79
,Sausalito,"7,198",24,19,5
,Scotts Valley,"12,016",26,19,7
,Seal Beach,"24,721",45,30,15
,Seaside,"34,827",46,37,9
,Sebastopol,"7,734",19,14,5
,Selma,"24,641",38,30,8
,Shafter,"18,608",38,26,12
,Sierra Madre,"11,212",18,15,3
,Signal Hill,"11,677",47,34,13
,Simi Valley,"127,252",177,122,55
,Soledad,"24,805",21,17,4
,Sonora,"4,802",17,10,7
,South Gate,"96,791",118,79,39
,South Lake Tahoe,"21,765",56,37,19
,South Pasadena,"26,256",49,35,14
,South San Francisco,"67,995",110,80,30
,Stallion Springs,"2,628",3,3,0
,St. Helena,"6,142",18,13,5
,Stockton,"308,348",610,412,198
,Suisun City,"29,768",33,21,12
,Sunnyvale,"154,108",278,209,69
,Susanville,"14,798",19,17,2
,Sutter Creek,"2,484",4,4,0
,Taft,"9,543",26,16,10
,Tehachapi,"12,770",24,15,9
,Tiburon,"9,263",16,13,3
,Torrance,"149,078",309,208,101
,Tracy,"87,844",126,85,41
,Truckee,"16,326",34,22,12
,Tulare,"62,902",109,72,37
,Tulelake,990,1,1,0
,Turlock,"73,031",117,78,39
,Tustin,"81,642",131,87,44
,Ukiah,"15,897",49,32,17
,Union City,"75,501",104,75,29
,Upland,"76,956",96,69,27
,Vacaville,"97,671",150,99,51
,Vallejo,"122,293",150,110,40
,Ventura,"110,228",165,125,40
,Vernon,114,51,39,12
,Visalia,"131,186",200,135,65
,Walnut Creek,"69,860",118,85,33
,Watsonville,"54,110",86,68,18
,Weed,"2,479",13,8,5
,West Covina,"108,950",156,93,63
,Westminster,"92,582",115,79,36
,Westmorland,"2,275",5,5,0
,West Sacramento,"53,532",89,69,20
,Wheatland,"3,775",9,8,1
,Whittier,"87,860",167,120,47
,Williams,"5,208",9,7,2
,Willits,"4,856",16,11,5
,Willows,"6,053",10,9,1
,Winters,"7,120",13,11,2
,Woodlake,"7,727",9,8,1
,Woodland,"59,190",75,61,14
,Yreka,"7,559",20,14,6
,Yuba City,"67,198",78,52,26
COLORADO,Alamosa,"9,927",27,23,4
,Arvada,"117,186",215,158,57
